,DATE,TMIN
31,1881-02-01,-5.7
396,1882-02-01,-9.5
761,1883-02-01,-4.0
1126,1884-02-01,-5.9
1492,1885-02-01,-1.6
1857,1886-02-01,-10.4
2222,1887-02-01,-0.4
2587,1888-02-01,-18.3
2953,1889-02-01,-11.8
3318,1890-02-01,-13.2
3683,1891-02-01,-1.5
4048,1892-02-01,-15.5
4414,1893-02-01,-17.4
4779,1894-02-01,-0.8
5144,1895-02-01,-22.6
5509,1896-02-01,-11.4
5875,1897-02-01,-10.8
6240,1898-02-01,-14.8
6605,1899-02-01,-14.5
6970,1900-02-01,-9.4
7335,1901-02-01,-5.3
7700,1902-02-01,-23.6
8065,1903-02-01,-8.8
8430,1904-02-01,-5.1
8796,1905-02-01,-12.5
9161,1906-02-01,-15.2
9526,1907-02-01,-4.8
9891,1908-02-01,-3.2
10257,1909-02-01,-17.5
10622,1910-02-01,-4.7
10987,1911-02-01,-13.2
11352,1912-02-01,
11718,1913-02-01,-16.2
12083,1914-02-01,-0.6
12448,1915-02-01,-16.0
12813,1916-02-01,-1.9
13179,1917-02-01,-21.9
13544,1918-02-01,0.0
13909,1919-02-01,-9.5
14274,1920-02-01,-15.6
14640,1921-02-01,-16.7
15005,1922-02-01,-14.2
15370,1923-02-01,-11.4
15735,1924-02-01,-10.2
16101,1925-02-01,-0.5
16466,1926-02-01,-9.9
16831,1927-02-01,-2.8
17196,1928-02-01,-6.4
17562,1929-02-01,-19.0
17927,1930-02-01,-17.5
18292,1931-02-01,-14.6
18657,1932-02-01,-7.8
19023,1933-02-01,-11.7
19388,1934-02-01,-7.9
19753,1935-02-01,-12.5
20118,1936-02-01,-17.2
20484,1937-02-01,-12.9
20849,1938-02-01,-0.6
21214,1939-02-01,-14.4
21579,1940-02-01,-17.8
21945,1941-02-01,-18.8
22310,1942-02-01,-14.3
22675,1943-02-01,-3.5
23040,1944-02-01,-3.6
23406,1945-02-01,-18.1
23771,1946-02-01,-5.9
24136,1947-02-01,-6.4
24501,1948-02-01,0.7
24867,1949-02-01,-9.5
25232,1950-02-01,-12.6
25597,1951-02-01,-9.1
25962,1952-02-01,-5.0
26328,1953-02-01,-6.8
26693,1954-02-01,-10.2
27058,1955-02-01,-9.1
27423,1956-02-01,-31.7
27789,1957-02-01,-6.1
28154,1958-02-01,-6.1
28519,1959-02-01,-9.2
28884,1960-02-01,-20.8
29250,1961-02-01,-0.7
29615,1962-02-01,-13.0
29980,1963-02-01,-19.5
30345,1964-02-01,-0.6
30711,1965-02-01,-14.2
31076,1966-02-01,-22.1
31441,1967-02-01,-25.1
31806,1968-02-01,-2.8
32172,1969-02-01,-10.2
32537,1970-02-01,-8.0
32902,1971-02-01,-2.5
33267,1972-02-01,-13.5
33633,1973-02-01,-17.8
33998,1974-02-01,-1.5
34363,1975-02-01,-5.1
34728,1976-02-01,-20.2
35094,1977-02-01,-3.2
35459,1978-02-01,-7.4
35824,1979-02-01,-4.6
36189,1980-02-01,-25.5
36555,1981-02-01,-4.6
36920,1982-02-01,-7.4
37285,1983-02-01,-16.8
37650,1984-02-01,-9.4
38016,1985-02-01,-8.3
38381,1986-02-01,-9.9
38746,1987-02-01,-14.0
39111,1988-02-01,-12.3
39477,1989-02-01,-3.6
39842,1990-02-01,1.5
40207,1991-02-01,-9.8
40572,1992-02-01,-0.8
40938,1993-02-01,-2.0
41303,1994-02-01,-18.7
41668,1995-02-01,-17.0
42033,1996-02-01,-11.3
42399,1997-02-01,-7.9
42764,1998-02-01,-18.5
43129,1999-02-01,-5.1
43494,2000-02-01,-7.5
43860,2001-02-01,-6.7
44225,2002-02-01,-15.1
44590,2003-02-01,-23.3
44955,2004-02-01,-6.3
45321,2005-02-01,-9.8
45686,2006-02-01,-17.0
46051,2007-02-01,-15.2
46416,2008-02-01,-0.5
46782,2009-02-01,-15.3
47147,2010-02-01,-6.6
47512,2011-02-01,-2.6
47877,2012-02-01,-19.1
48243,2013-02-01,-2.2
48608,2014-02-01,-11.5
48973,2015-02-01,
49317,2016-02-01,
49683,2017-02-01,
50048,2018-02-01,
50406,2019-02-01,-12.1
